# y+ ()       
# Time        	patch         	min           	max           	average       
24.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
24.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
25            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
25            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
25.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
25.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
26            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
26            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
26.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
26.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
27            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
27            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
27.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
27.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
28            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
28            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
28.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
28.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
29            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
29            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
29.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
29.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
30            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
30            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
30.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
30.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
31            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
31            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
31.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
31.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
32            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
32            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
32.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
32.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
33            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
33            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
33.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
33.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
34            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
34            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
34.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
34.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
35            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
35            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
35.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
35.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
36            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
36            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
36.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
36.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
37            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
37            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
37.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
37.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
38            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
38            	bottomWall	7.979102e-02	3.632755e+01	2.669649e+01
38.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
38.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
39            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
39            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
39.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
39.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
40            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
40            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
40.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
40.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
41            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
41            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
41.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
41.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
42            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
42            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
42.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
42.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
43            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
43            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
43.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
43.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
44            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
44            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
44.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
44.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
45            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
45            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
45.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
45.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
46            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
46            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
46.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
46.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
47            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
47            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
47.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
47.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
48            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
48            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
48.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
48.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
49            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
49            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
49.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
49.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
50            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
50            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
50.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
50.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
51            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
51            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
51.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
51.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
52            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
52            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
52.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
52.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
53            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
53            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
